GID,ID,NAME,TYPE,TOLLINTERV,LAT,LNG,PILENUMBER,STATUS,STARTTIME,ENDTIME,ETCGANTRYH,RSUMANUID,RSUMODEL,RUSID,VPLRUID,VPLRMODEL,VPLRID,HDVUID,HDVMODEL,HDVID,OPERATION,LINKID,CLASS,ZOOM,ZOOMNUMBER,省份编码,门架种类,使用状态,承载门架编,收费广场编,省份名称,门架类型,省界入出口标识
,G201264001001310020,营盘水省界出口门架2,0,,37.4289,104.317,K319+570,0,,,,,,,,,,,,,0,5794764,,0,0,64,实体门架,在用,,,宁夏回族自治区,省界收费门架,省界出口
,G201264001001320020,营盘水省界入口门架2,0,,37.4279,104.311,K320+070,0,,,,,,,,,,,,,0,5794765,,0,0,64,实体门架,在用,,,宁夏回族自治区,省界收费门架,省界入口
,G001123003001320200,复兴主线-西湖岫虚门架,0,,43.7905,128.863,K495+200,0,,,,,,,,,,,,,0,600021246,,0,0,23,实体门架,在用,,,黑龙江省,省界收费门架,省界入口
,S008341005005720010,豫鄂省界_邓州南构林第一排,0,,32.4373,112.116,K1448+665,0,,,,,,,,,,,,,0,90546926,,0,0,41,实体门架,在用,,,河南省,省界收费门架,省界入口
,G001123003001320210,复兴主线-西湖岫虚门架,0,,43.7825,128.846,K497+000,0,,,,,,,,,,,,,0,72029816,,0,0,23,实体门架,在用,,,黑龙江省,省界收费门架,省界入口
,G003061005000410010,坪头匝道至陈仓省界,0,,34.3926,106.876,K1257+640,0,,,,,,,,,,,,,0,61062793,,0,0,61,实体门架,在用,,,陕西省,省界收费门架,省界出口
,G001123003001310210,西湖岫虚-复兴主线门架,0,,43.7943,128.865,K494+800,0,,,,,,,,,,,,,0,72029819,,0,0,23,实体门架,在用,,,黑龙江省,省界收费门架,省界出口
,G001123003001310200,西湖岫虚-复兴主线门架,0,,43.808,128.881,K492+500,0,,,,,,,,,,,,,0,49428088,,0,0,23,实体门架,在用,,,黑龙江省,省界收费门架,省界出口
,G000111001001020010,北京香河站-北京京哈高速互通1,0,,39.8002,116.934,K39+730,0,,,,,,,,,,,,,0,249678,,0,0,11,实体门架,在用,,,北京市,省界收费门架,省界入口
,G004061001000110020,陕西商南省界至商南西匝道,0,,33.4725,110.889,K1296+550,0,,,,,,,,,,,,,0,15843060,,0,0,61,实体门架,在用,,,陕西省,省界收费门架,省界入口
,G000111001000910020,北京京哈高速互通-北京香河站2,0,,39.8,116.933,K39+700,0,,,,,,,,,,,,,0,68100714,,0,0,11,实体门架,在用,,,北京市,省界收费门架,省界出口
,G004061001000110010,陕西商南省界至商南西匝道,0,,33.4717,110.897,K1295+920,0,,,,,,,,,,,,,0,3497462,,0,0,61,实体门架,在用,,,陕西省,省界收费门架,省界入口
,G000111001000910010,北京京哈高速互通-北京香河站1,0,,39.7999,116.926,K39+100,0,,,,,,,,,,,,,0,68100709,,0,0,11,实体门架,在用,,,北京市,省界收费门架,省界出口
,S008341005005710010,邓州南构林_豫鄂省界第一排,0,,32.4383,112.116,K1448+635,0,,,,,,,,,,,,,0,3267262,,0,0,41,实体门架,在用,,,河南省,省界收费门架,省界出口
,G201264001001320010,营盘水省界入口门架1,0,,37.4288,104.317,K320+040,0,,,,,,,,,,,,,0,5794765,,0,0,64,实体门架,在用,,,宁夏回族自治区,省界收费门架,省界入口
,G201264001001310010,营盘水省界出口门架1,0,,37.4299,104.323,K319+540,0,,,,,,,,,,,,,0,5794764,,0,0,64,实体门架,在用,,,宁夏回族自治区,省界收费门架,省界出口
,G000765001000310010,G7甘新省界-新疆白山泉匝道站1,0,,42.1207,96.0089,K1997+700,0,,,,,,,,,,,,,0,72919511,,0,0,65,实体门架,在用,,,新疆维吾尔自治区,省界收费门架,省界入口
,G000765001000310020,G7甘新省界-新疆白山泉匝道站2,0,,42.1218,96.003,K1998+200,0,,,,,,,,,,,,,0,72919511,,0,0,65,实体门架,在用,,,新疆维吾尔自治区,省界收费门架,省界入口
,G004523001000720060,永利主线-肇源虚门架,0,,45.531,125.024,K142+400,0,,,,,,,,,,,,,0,49805549,,0,0,23,实体门架,在用,,,黑龙江省,省界收费门架,省界入口
,G000765001000320010,新疆白山泉匝道站-G7甘新省界1,0,,42.1215,96.0026,K1998+230,0,,,,,,,,,,,,,0,72919504,,0,0,65,实体门架,在用,,,新疆维吾尔自治区,省界收费门架,省界出口
,G004523001000720070,永利主线-肇源虚门架,0,,45.526,125.02,K143+000,0,,,,,,,,,,,,,0,49805550,,0,0,23,实体门架,在用,,,黑龙江省,省界收费门架,省界入口
,G000765001000320020,新疆白山泉匝道站-G7甘新省界2,0,,42.1225,95.9972,K1998+730,0,,,,,,,,,,,,,0,32228263,,0,0,65,实体门架,在用,,,新疆维吾尔自治区,省界收费门架,省界出口
,G000123001000720040,石家匝道点-拉林河主线门架,0,,45.166,126.144,K1139+400,0,,,,,,,,,,,,,0,42370668,,0,0,23,实体门架,在用,,,黑龙江省,省界收费门架,省界出口
,G000123001000720030,石家匝道点-拉林河主线门架,0,,45.1692,126.146,K1139+700,0,,,,,,,,,,,,,0,5220787,,0,0,23,实体门架,在用,,,黑龙江省,省界收费门架,省界出口
,G004523001000710070,肇源虚-永利主线门架,0,,45.5352,125.027,K141+925,0,,,,,,,,,,,,,0,12531699,,0,0,23,实体门架,在用,,,黑龙江省,省界收费门架,省界出口
,G004523001000710060,肇源虚-永利主线门架,0,,45.542,125.031,K141+130,0,,,,,,,,,,,,,0,12531699,,0,0,23,实体门架,在用,,,黑龙江省,省界收费门架,省界出口
,G000113001004020020,玉田匝道收费站-津冀界2,0,,39.7438,117.683,K110+330,0,,,,,,,,,,,,,0,7317134,,0,0,13,实体门架,在用,,,河北省,省界收费门架,省界出口
,G000113001004020010,玉田匝道收费站-津冀界1,0,,39.7456,117.689,K110+830,0,,,,,,,,,,,,,0,7317134,,0,0,13,实体门架,在用,,,河北省,省界收费门架,省界出口
,G001813005000220010,冀晋界-涞源西枢纽互通1,0,,39.3689,114.57,K1002+750,0,,,,,,,,,,,,,0,109677342,,0,0,13,实体门架,在用,,,河北省,省界收费门架,省界入口
,G001813005000220020,冀晋界-涞源西枢纽互通2,0,,39.3714,114.566,K1003+250,0,,,,,,,,,,,,,0,109677342,,0,0,13,实体门架,在用,,,河北省,省界收费门架,省界入口
,G000713001002420010,西洋河临时主线收费站-柴沟堡收费站1,0,,40.6648,114.323,K240+530,0,,,,,,,,,,,,,0,77974683,,0,0,13,实体门架,在用,,,河北省,省界收费门架,省界入口
,G000713001002420020,西洋河临时主线收费站-柴沟堡收费站2,0,,40.6652,114.317,K241+030,0,,,,,,,,,,,,,0,77974683,,0,0,13,实体门架,在用,,,河北省,省界收费门架,省界入口
,G001813005000110020,涞源西枢纽互通-冀晋界2,0,,39.3687,114.571,K1002+720,0,,,,,,,,,,,,,0,109677339,,0,0,13,实体门架,在用,,,河北省,省界收费门架,省界出口
,G000713001002310020,柴沟堡收费站-西洋河临时主线收费站2,0,,40.6648,114.324,K240+500,0,,,,,,,,,,,,,0,77974680,,0,0,13,实体门架,在用,,,河北省,省界收费门架,省界出口
,G001813005000110010,涞源西枢纽互通-冀晋界1,0,,39.3657,114.577,K1002+110,0,,,,,,,,,,,,,0,109677339,,0,0,13,实体门架,在用,,,河北省,省界收费门架,省界出口
,G000713001002310010,柴沟堡收费站-西洋河临时主线收费站1,0,,40.6629,114.331,K240+000,0,,,,,,,,,,,,,0,77974680,,0,0,13,实体门架,在用,,,河北省,省界收费门架,省界出口
,S003261001000720020,陕西佳县至佳县,0,,38.0388,110.482,K1+270,0,,,,,,,,,,,,,0,15768826,,0,0,61,实体门架,在用,,,陕西省,省界收费门架,省界入口
,G002037007000920110,青银鲁冀-德商青银立交门架,0,,37.0198,115.88,K454+200,0,,,,,,,,,,,,,0,109710973,,0,0,37,实体门架,在用,,,山东省,省界收费门架,省界入口
,G002037007000920100,青银鲁冀-德商青银立交门架,0,,37.0224,115.866,K455+500,0,,,,,,,,,,,,,0,2701768,,0,0,37,实体门架,在用,,,山东省,省界收费门架,省界入口
,G002037007000810090,德商青银立交-青银鲁冀门架,0,,37.0196,115.886,K453+700,0,,,,,,,,,,,,,0,109710998,,0,0,37,实体门架,在用,,,山东省,省界收费门架,省界出口
,G002037007000810080,德商青银立交-青银鲁冀门架,0,,37.0195,115.893,K453+200,0,,,,,,,,,,,,,0,109710998,,0,0,37,实体门架,在用,,,山东省,省界收费门架,省界出口
,G000313004001220020,冀鲁界吴桥主线收费站-吴桥收费站2,0,,37.6069,116.435,K264+730,0,,,,,,,,,,,,,0,109991851,,0,0,13,实体门架,在用,,,河北省,省界收费门架,省界入口
,G000411001001120020,北京琉璃河南站-北京琉璃河站2,0,,39.5828,116.046,K44+230,0,,,,,,,,,,,,,0,355881,,0,0,11,实体门架,在用,,,北京市,省界收费门架,省界入口
,G000313004001220010,冀鲁界吴桥主线收费站-吴桥收费站1,0,,37.6112,116.437,K264+230,0,,,,,,,,,,,,,0,109991851,,0,0,13,实体门架,在用,,,河北省,省界收费门架,省界入口
,G000411001001010020,北京琉璃河站-北京琉璃河南站2,0,,39.5871,116.05,K43+700,0,,,,,,,,,,,,,0,49044814,,0,0,11,实体门架,在用,,,北京市,省界收费门架,省界出口
,G000411001001010010,北京琉璃河站-北京琉璃河南站1,0,,39.5912,116.054,K43+200,0,,,,,,,,,,,,,0,49044814,,0,0,11,实体门架,在用,,,北京市,省界收费门架,省界出口
,G000313004001110020,吴桥收费站-冀鲁界吴桥主线收费站2,0,,37.612,116.437,K264+200,0,,,,,,,,,,,,,0,109991856,,0,0,13,实体门架,在用,,,河北省,省界收费门架,省界出口
,G000313004001110010,吴桥收费站-冀鲁界吴桥主线收费站1,0,,37.6161,116.438,K263+700,0,,,,,,,,,,,,,0,109991856,,0,0,13,实体门架,在用,,,河北省,省界收费门架,省界出口
,G000663001000410020,马场垣主线站-马场垣站2,0,,36.3135,102.898,K1685+740,0,,,,,,,,,,,,,0,95172394,,0,0,63,实体门架,在用,,,青海省,省界收费门架,省界入口
,G000663001000410010,马场垣主线站-马场垣站1,0,,36.3103,102.902,K1685+235,0,,,,,,,,,,,,,0,95172394,,0,0,63,实体门架,在用,,,青海省,省界收费门架,省界入口
,G002515001000620020,布敦花-查日苏2,0,,43.0608,123.438,K196+330,0,,,,,,,,,,,,,0,101378813,,0,0,15,实体门架,在用,,,内蒙古自治区,省界收费门架,省界入口
,G011112001000120020,滨保秦滨(北)互通(大神堂)-秦滨省界(河北)涧河收费站2,0,,39.2133,117.949,K170+800,0,,,,,,,,,,,,,0,87907068,,0,0,12,实体门架,在用,,,天津市,省界收费门架,省界出口
,G011112001000120040,滨保秦滨(北)互通(大神堂)-秦滨省界(河北)涧河收费站4,0,,39.2125,117.943,K171+300,0,,,,,,,,,,,,,0,87907068,,0,0,12,实体门架,在用,,,天津市,省界收费门架,省界出口
,G000213001000110020,冀津界青县主线收费站-青县收费站2,0,,38.5932,116.806,K162+200,0,,,,,,,,,,,,,0,2946239,,0,0,13,实体门架,在用,,,河北省,省界收费门架,省界入口
,G000213001000110010,冀津界青县主线收费站-青县收费站1,0,,38.5971,116.809,K161+700,0,,,,,,,,,,,,,0,2946239,,0,0,13,实体门架,在用,,,河北省,省界收费门架,省界入口
,G000213001000220010,青县收费站-冀津界青县主线收费站1,0,,38.5925,116.805,K162+230,0,,,,,,,,,,,,,0,10488653,,0,0,13,实体门架,在用,,,河北省,省界收费门架,省界出口
,G000213001000220020,青县收费站-冀津界青县主线收费站2,0,,38.5882,116.803,K162+730,0,,,,,,,,,,,,,0,10488653,,0,0,13,实体门架,在用,,,河北省,省界收费门架,省界出口
,G000212002000620040,津沧南京沪二互通(大张屯)-京沪津石互通(胡辛庄)4,0,,38.7614,116.882,K139+200,0,,,,,,,,,,,,,0,12716704,,0,0,12,实体门架,在用,,,天津市,省界收费门架,省界入口
,G000212002000620020,津沧南京沪二互通(大张屯)-京沪津石互通(胡辛庄)2,0,,38.7569,116.882,K139+700,0,,,,,,,,,,,,,0,12716704,,0,0,12,实体门架,在用,,,天津市,省界收费门架,省界入口
,G006561001000110020,陕蒙界省界至红碱淖匝道,0,,39.0128,109.792,K216+343,0,,,,,,,,,,,,,0,502108165,,0,0,61,实体门架,在用,,,陕西省,省界收费门架,省界入口
,G006561001000110010,陕蒙界省界至红碱淖匝道,0,,39.017,109.793,K215+880,0,,,,,,,,,,,,,0,502108165,,0,0,61,实体门架,在用,,,陕西省,省界收费门架,省界入口
,G000212002000610010,京沪津石互通(胡辛庄)-津沧南京沪二互通(大张屯)1,0,,38.7631,116.882,K139+000,0,,,,,,,,,,,,,0,7789420,,0,0,12,实体门架,在用,,,天津市,省界收费门架,省界出口
,G000212002000610030,京沪津石互通(胡辛庄)-津沧南京沪二互通(大张屯)3,0,,38.7675,116.881,K138+500,0,,,,,,,,,,,,,0,12716703,,0,0,12,实体门架,在用,,,天津市,省界收费门架,省界出口
,G006561001000120020,红碱淖匝道至陕蒙界省界,0,,39.0121,109.792,K216+445,0,,,,,,,,,,,,,0,504106481,,0,0,61,实体门架,在用,,,陕西省,省界收费门架,省界出口
,G002061003000820010,王圈梁省界至定边匝道,0,,37.6477,107.581,K1360+020,0,,,,,,,,,,,,,0,54393852,,0,0,61,实体门架,在用,,,陕西省,省界收费门架,省界入口
,G002061003000820020,王圈梁省界至定边匝道,0,,37.6515,107.578,K1360+520,0,,,,,,,,,,,,,0,54393852,,0,0,61,实体门架,在用,,,陕西省,省界收费门架,省界入口
,G006561001000120010,红碱淖匝道至陕蒙界省界,0,,39.0076,109.791,K216+945,0,,,,,,,,,,,,,0,504106481,,0,0,61,实体门架,在用,,,陕西省,省界收费门架,省界出口
,G002261001001320020,陕西富县省界至张家湾匝道,0,,36.1056,108.714,K1261+450,0,,,,,,,,,,,,,0,97468768,,0,0,61,实体门架,在用,,,陕西省,省界收费门架,省界入口
,G002261001001320010,陕西富县省界至张家湾匝道,0,,36.1077,108.708,K1261+950,0,,,,,,,,,,,,,0,97468768,,0,0,61,实体门架,在用,,,陕西省,省界收费门架,省界入口
,G002061003000810020,定边匝道至王圈梁省界,0,,37.647,107.582,K1359+970,0,,,,,,,,,,,,,0,54393850,,0,0,61,实体门架,在用,,,陕西省,省界收费门架,省界出口
,G002261001001310020,张家湾匝道至陕西富县省界,0,,36.1056,108.714,K1261+400,0,,,,,,,,,,,,,0,40297313,,0,0,61,实体门架,在用,,,陕西省,省界收费门架,省界出口
,G002061003000810010,定边匝道至王圈梁省界,0,,37.6433,107.586,K1359+470,0,,,,,,,,,,,,,0,54393850,,0,0,61,实体门架,在用,,,陕西省,省界收费门架,省界出口
,G002261001001310010,张家湾匝道至陕西富县省界,0,,36.1014,108.72,K1260+624,0,,,,,,,,,,,,,0,40297313,,0,0,61,实体门架,在用,,,陕西省,省界收费门架,省界出口
,G000511001001220010,北京镇江营站-北京张坊站1,0,,39.5398,115.748,K58+250,0,,,,,,,,,,,,,0,17763764,,0,0,11,实体门架,在用,,,北京市,省界收费门架,省界入口
,G000511001001220020,北京镇江营站-北京张坊站2,0,,39.5319,115.748,K59+000,0,,,,,,,,,,,,,0,17763780,,0,0,11,实体门架,在用,,,北京市,省界收费门架,省界入口
,G000511001001110020,北京张坊站-北京镇江营站2,0,,39.5406,115.748,K58+220,0,,,,,,,,,,,,,0,17763762,,0,0,11,实体门架,在用,,,北京市,省界收费门架,省界出口
,G000511001001110010,北京张坊站-北京镇江营站1,0,,39.5451,115.749,K57+720,0,,,,,,,,,,,,,0,17763762,,0,0,11,实体门架,在用,,,北京市,省界收费门架,省界出口
,G004522002001710010,双辽北收费站至协力互通S门架1,0,,43.6483,123.558,K405+400,0,,,,,,,,,,,,,0,5542635,,0,0,22,实体门架,在用,G004522002001710010,G00452200200901020,吉林省,省界收费门架,省界入口
,G004522002001710020,双辽北收费站至协力互通S门架2,0,,43.6478,123.552,K405+900,0,,,,,,,,,,,,,0,5542635,,0,0,22,实体门架,在用,G004522002001710020,G00452200200901020,吉林省,省界收费门架,省界入口
,G000613001000110020,省界K69(000)到东花园收费站2,0,,40.3371,115.834,K73+900,0,,,,,,,,,,,,,0,503064275,,0,0,13,实体门架,在用,,,河北省,省界收费门架,省界入口
,G000613001000110010,省界K69(000)到东花园收费站1,0,,40.3385,115.84,K73+370,0,,,,,,,,,,,,,0,607063976,,0,0,13,实体门架,在用,,,河北省,省界收费门架,省界入口
,G000561001000120010,工业园匝道至禹门口省界,0,,35.5967,110.573,K839+195,0,,,,,,,,,,,,,0,17884714,,0,0,61,实体门架,在用,,,陕西省,省界收费门架,省界出口
,G000613001000220010,东花园收费站到省界K69(000)1,0,,40.3367,115.833,K73+950,0,,,,,,,,,,,,,0,603064198,,0,0,13,实体门架,在用,,,河北省,省界收费门架,省界出口
,G001023001000220010,黑蒙界主线-甘南虚门架,0,,47.9856,123.498,K881+650,0,,,,,,,,,,,,,0,30241285,,0,0,23,实体门架,在用,,,黑龙江省,省界收费门架,省界入口
,G000613001000220020,东花园收费站到省界K69(000)2,0,,40.3354,115.827,K74+450,0,,,,,,,,,,,,,0,507063668,,0,0,13,实体门架,在用,,,河北省,省界收费门架,省界出口
,G001023001000210020,甘南虚-黑蒙界主线门架,0,,47.9825,123.503,K881+150,0,,,,,,,,,,,,,0,85269702,,0,0,23,实体门架,在用,,,黑龙江省,省界收费门架,省界出口
,G001023001000210010,甘南虚-黑蒙界主线门架,0,,47.9787,123.509,K880+500,0,,,,,,,,,,,,,0,85269702,,0,0,23,实体门架,在用,,,黑龙江省,省界收费门架,省界出口
,G002261001000110010,陕西壶口省界至壶口匝道,0,,36.0486,110.477,K1070+060,0,,,,,,,,,,,,,0,85121612,,0,0,61,实体门架,在用,,,陕西省,省界收费门架,省界入口
,G001222001002810020,石头井子收费站至岭下互通门架2,0,,45.8706,122.382,K886+632,0,,,,,,,,,,,,,0,71357211,,0,0,22,实体门架,在用,,,吉林省,省界收费门架,省界入口
,G002261001000120010,壶口匝道至陕西壶口省界,0,,36.0484,110.473,K1070+325,0,,,,,,,,,,,,,0,85121614,,0,0,61,实体门架,在用,,,陕西省,省界收费门架,省界出口
,G001222001002820020,岭下互通至石头井子收费站门架2,0,,45.8678,122.387,K886+180,0,,,,,,,,,,,,,0,88162016,,0,0,22,实体门架,在用,,,吉林省,省界收费门架,省界出口
,S001022001000210020,下排收费站至英额布互通门架2,0,,41.7292,125.355,K43+760,0,,,,,,,,,,,,,0,4937590,,0,0,22,实体门架,在用,,,吉林省,省界收费门架,省界入口
,S001022001000210010,下排收费站至英额布互通门架1,0,,41.7271,125.349,K44+280,0,,,,,,,,,,,,,0,61713713,,0,0,22,实体门架,在用,,,吉林省,省界收费门架,省界入口
,S001022001000220010,英额布互通至下排收费站门架1,0,,41.7311,125.361,K43+230,0,,,,,,,,,,,,,0,78365339,,0,0,22,实体门架,在用,,,吉林省,省界收费门架,省界出口
,G451223003003020140,街基主线-泰来虚门架,0,,46.299,123.406,K325+500,0,,,,,,,,,,,,,0,70309325,,0,0,23,实体门架,在用,,,黑龙江省,省界收费门架,省界入口
,G451223003003020150,街基主线-泰来虚门架,0,,46.2933,123.405,K325+250,0,,,,,,,,,,,,,0,70309325,,0,0,23,实体门架,在用,,,黑龙江省,省界收费门架,省界入口
,G002264001000310010,隆德-毛家沟上行门架（隆德省界出口）,0,,35.6106,106.113,K1620+500,0,,,,,,,,,,,,,0,69760086,,0,0,64,实体门架,在用,,,宁夏回族自治区,省界收费门架,省界出口
,G181764001000120020,银巴省界入口门架2,0,,38.3683,105.975,K215+730,0,,,,,,,,,,,,,0,90505356,,0,0,64,实体门架,在用,,,宁夏回族自治区,省界收费门架,省界入口
,G000613002001820010,冀蒙界-怀安互通收费站1,0,,40.6982,114.371,K220+900,0,,,,,,,,,,,,,0,88588812,,0,0,13,实体门架,在用,,,河北省,省界收费门架,省界入口
,G000613002001820020,冀蒙界-怀安互通收费站2,0,,40.6982,114.365,K220+400,0,,,,,,,,,,,,,0,88588812,,0,0,13,实体门架,在用,,,河北省,省界收费门架,省界入口
,G000613002001710020,怀安互通收费站-冀蒙界2,0,,40.6984,114.372,K220+370,0,,,,,,,,,,,,,0,12571235,,0,0,13,实体门架,在用,,,河北省,省界收费门架,省界出口
,G000613002001710010,怀安互通收费站-冀蒙界1,0,,40.6984,114.378,K219+870,0,,,,,,,,,,,,,0,2864400,,0,0,13,实体门架,在用,,,河北省,省界收费门架,省界出口
,G002515001000220020,金宝屯-那木斯2,0,,43.3951,123.537,K157+080,0,,,,,,,,,,,,,0,70309412,,0,0,15,实体门架,在用,,,内蒙古自治区,省界收费门架,省界出口
,G002515001000220010,金宝屯-那木斯1,0,,43.3911,123.534,K157+580,0,,,,,,,,,,,,,0,70309412,,0,0,15,实体门架,在用,,,内蒙古自治区,省界收费门架,省界出口
,G000664001000110020,惠农省界入口门架2,0,,39.2928,106.721,K1078+480,0,,,,,,,,,,,,,0,507025892,,0,0,64,实体门架,在用,,,宁夏回族自治区,省界收费门架,省界入口
,G000664001000110010,惠农省界入口门架1,0,,39.2975,106.722,K1077+970,0,,,,,,,,,,,,,0,507025892,,0,0,64,实体门架,在用,,,宁夏回族自治区,省界收费门架,省界入口
,G000664001000120010,惠农省界出口门架1,0,,39.2921,106.722,K1078+500,0,,,,,,,,,,,,,0,607024390,,0,0,64,实体门架,在用,,,宁夏回族自治区,省界收费门架,省界出口
,G000664001000120020,惠农省界出口门架2,0,,39.288,106.721,K1079+000,0,,,,,,,,,,,,,0,607024390,,0,0,64,实体门架,在用,,,宁夏回族自治区,省界收费门架,省界出口
,G002515001000620010,布敦花-查日苏1,0,,43.0566,123.438,K196+830,0,,,,,,,,,,,,,0,101378814,,0,0,15,实体门架,在用,,,内蒙古自治区,省界收费门架,省界入口
,G000413001000110020,冀京省界-健康城站2,0,,39.5664,116.038,K46+220,0,,,,,,,,,,,,,0,506120736,,0,0,13,实体门架,在用,,,河北省,省界收费门架,省界入口
,G000413001000110010,冀京省界-健康城站1,0,,39.5706,116.039,K45+720,0,,,,,,,,,,,,,0,505119797,,0,0,13,实体门架,停用,,,河北省,省界收费门架,省界入口
,G002515001000610020,查日苏-布敦花2,0,,43.0616,123.437,K196+280,0,,,,,,,,,,,,,0,64234157,,0,0,15,实体门架,在用,,,内蒙古自治区,省界收费门架,省界出口
,G002515001000610010,查日苏-布敦花1,0,,43.066,123.437,K195+780,0,,,,,,,,,,,,,0,64234155,,0,0,15,实体门架,在用,,,内蒙古自治区,省界收费门架,省界出口
,G002061001000110010,吴堡主线至吴堡匝道,0,,37.458,110.692,K1053+180,0,,,,,,,,,,,,,0,6530971,,0,0,61,实体门架,在用,,,陕西省,省界收费门架,省界入口
,G002061001000120010,吴堡匝道至吴堡主线,0,,37.4587,110.691,K1053+269,0,,,,,,,,,,,,,0,6530959,,0,0,61,实体门架,在用,,,陕西省,省界收费门架,省界出口
,G001122004000810010,新开岭收费站至大泉源互通门架1,0,,41.516,125.526,K951+830,0,,,,,,,,,,,,,0,12671600,,0,0,22,实体门架,在用,,,吉林省,省界收费门架,省界入口
,G001122004000810020,新开岭收费站至大泉源互通门架2,0,,41.5124,125.523,K952+300,0,,,,,,,,,,,,,0,12671600,,0,0,22,实体门架,在用,,,吉林省,省界收费门架,省界入口
,G001122004000820020,大泉源互通至新开岭收费站门架2,0,,41.5167,125.527,K951+780,0,,,,,,,,,,,,,0,15253829,,0,0,22,实体门架,在用,,,吉林省,省界收费门架,省界出口
,G001122004000820010,大泉源互通至新开岭收费站门架1,0,,41.5204,125.53,K951+260,0,,,,,,,,,,,,,0,15253829,,0,0,22,实体门架,在用,,,吉林省,省界收费门架,省界出口
,G004522002006020020,协力互通S至双辽北收费站门架2,0,,43.6484,123.559,K405+350,0,,,,,,,,,,,,,0,20132499,,0,0,22,实体门架,在用,G004522002006020020,G00452200200902020,吉林省,省界收费门架,省界出口
,G004522002006020010,协力互通S至双辽北收费站门架1,0,,43.6484,123.566,K404+820,0,,,,,,,,,,,,,0,20132500,,0,0,22,实体门架,在用,G004522002006020010,G00452200200902020,吉林省,省界收费门架,省界出口
,G002515001000210020,那木斯-金宝屯2,0,,43.3954,123.537,K157+030,0,,,,,,,,,,,,,0,70309410,,0,0,15,实体门架,在用,,,内蒙古自治区,省界收费门架,省界入口
,G002515001000210010,那木斯-金宝屯1,0,,43.4003,123.541,K156+530,0,,,,,,,,,,,,,0,70309410,,0,0,15,实体门架,在用,,,内蒙古自治区,省界收费门架,省界入口
,G004515001000210020,欧里主线-巴彦塔拉2,0,,43.625,123.353,K423+800,0,,,,,,,,,,,,,0,610090837,,0,0,15,实体门架,在用,,,内蒙古自治区,省界收费门架,省界入口
,G004515001000220020,巴彦塔拉-欧里主线2,0,,43.6248,123.352,K423+850,0,,,,,,,,,,,,,0,506092267,,0,0,15,实体门架,在用,,,内蒙古自治区,省界收费门架,省界出口
,G004515001000220010,巴彦塔拉-欧里主线1,0,,43.6245,123.346,K424+350,0,,,,,,,,,,,,,0,620091403,,0,0,15,实体门架,在用,,,内蒙古自治区,省界收费门架,省界出口
,G000615010001420010,蒙宁界-乌斯太1,0,,39.3913,106.72,K1067+015,0,,,,,,,,,,,,,0,35661438,,0,0,15,实体门架,在用,,,内蒙古自治区,省界收费门架,省界出口
,G000615010001410010,乌斯太-蒙宁界1,0,,39.3919,106.72,K1066+950,0,,,,,,,,,,,,,0,13973722,,0,0,15,实体门架,在用,,,内蒙古自治区,省界收费门架,省界入口
